timestamp,score,rms,peak,near_silence,above_high_score,above_threshold,above_very_high
0.0000,0.00000000,0.00006405,0.00036932,True,False,False,False
0.0800,0.00000000,0.00009047,0.00037169,True,False,False,False
0.1600,0.00000000,0.00008934,0.00034064,True,False,False,False
0.2400,0.00000000,0.00013112,0.00079913,True,False,False,False
0.3200,0.00000000,0.00037455,0.00120703,True,False,False,False
0.4000,0.03914824,0.00007597,0.00027324,True,False,False,False
0.4800,0.04482093,0.00009320,0.00030254,True,False,False,False
0.5600,0.06195182,0.00008555,0.00027886,True,False,False,False
0.6400,0.08808145,0.00010936,0.00042968,True,False,False,False
0.7200,0.10817581,0.00011997,0.00048200,True,False,False,False
0.8000,0.11272332,0.00010141,0.00034150,True,False,False,False
0.8800,0.11313879,0.00008057,0.00026774,True,False,False,False
0.9600,0.11084151,0.00007780,0.00026079,True,False,False,False
1.0400,0.08282092,0.00008382,0.00030529,True,False,False,False
1.1200,0.03536171,0.00009721,0.00034556,True,False,False,False
1.2000,0.01668656,0.00008875,0.00036630,True,False,False,False
1.2800,0.01359487,0.04491334,0.19420567,False,False,False,False
1.3600,0.01340729,0.09340285,0.48389384,False,False,False,False
1.4400,0.01400241,0.01868693,0.11554961,False,False,False,False
1.5200,0.01605427,0.02635807,0.11563254,False,False,False,False
1.6000,0.02060238,0.06653525,0.25330234,False,False,False,False
1.6800,0.02754423,0.06462163,0.24088623,False,False,False,False
1.7600,0.05935758,0.00646270,0.04095560,False,False,False,False
1.8400,0.10065907,0.00491491,0.02491449,False,False,False,False
1.9200,0.11438483,0.00180952,0.00816102,False,False,False,False
2.0000,0.12259227,0.00156967,0.00558151,False,False,False,False
2.0800,0.12819776,0.00144964,0.00627187,False,False,False,False
2.1600,0.13066414,0.00007733,0.00030936,True,False,False,False
2.2400,0.10694697,0.00067575,0.00265799,True,False,False,False
2.3200,0.08131027,0.00045775,0.00204612,True,False,False,False
2.4000,0.06604305,0.00007872,0.00027256,True,False,False,False
2.4800,0.04662800,0.00014848,0.00061394,True,False,False,False
2.5600,0.03679413,0.00008324,0.00030568,True,False,False,False
2.6400,0.03070784,0.00008315,0.00029066,True,False,False,False
2.7200,0.02437225,0.00038226,0.00143655,True,False,False,False
2.8000,0.01888302,0.00007821,0.00043886,True,False,False,False
2.8800,0.01635769,0.00007534,0.00037247,True,False,False,False
2.9600,0.01465124,0.00007292,0.00024871,True,False,False,False
3.0400,0.01304448,0.04134766,0.23077770,False,False,False,False
3.1200,0.01319554,0.12299646,0.50155175,False,False,False,False
3.2000,0.01454383,0.06202237,0.24801649,False,False,False,False
3.2800,0.01701710,0.00471538,0.01992681,False,False,False,False
3.3600,0.02247977,0.02910410,0.14928511,False,False,False,False
3.4400,0.02669787,0.12220294,0.34790337,False,False,False,False
3.5200,0.02981880,0.05538388,0.23138602,False,False,False,False
3.6000,0.03854081,0.01378335,0.10743546,False,False,False,False
3.6800,0.06543925,0.00557428,0.01924125,False,False,False,False
3.7600,0.06805849,0.00060477,0.00304318,True,False,False,False
3.8400,0.06320319,0.00023731,0.00097466,True,False,False,False
3.9200,0.07228133,0.00024255,0.00128283,True,False,False,False
4.0000,0.08413619,0.00062911,0.00323246,True,False,False,False
4.0800,0.06666231,0.00009217,0.00036768,True,False,False,False
4.1600,0.04882875,0.00007284,0.00024214,True,False,False,False
4.2400,0.02754393,0.00008555,0.00042742,True,False,False,False
4.3200,0.01870126,0.00008921,0.00030844,True,False,False,False
4.4000,0.01716983,0.00007587,0.00030426,True,False,False,False
4.4800,0.01550931,0.00158495,0.00800794,False,False,False,False
4.5600,0.01409501,0.11545002,0.49167582,False,False,False,False
4.6400,0.01411217,0.08966824,0.29479799,False,False,False,False
4.7200,0.01463258,0.01905273,0.11200383,False,False,False,False
4.8000,0.01490840,0.02686404,0.16569193,False,False,False,False
4.8800,0.01608795,0.00277792,0.01473896,False,False,False,False
4.9600,0.01853007,0.07106221,0.22338068,False,False,False,False
5.0400,0.02372974,0.05247890,0.20853163,False,False,False,False
5.1200,0.04333791,0.00623888,0.02417277,False,False,False,False
5.2000,0.08256066,0.00014299,0.00054575,True,False,False,False
5.2800,0.10543141,0.00017365,0.00060321,True,False,False,False
5.3600,0.14212444,0.00010811,0.00038613,True,False,False,False
5.4400,0.18319061,0.00007854,0.00027755,True,False,False,False
5.5200,0.17889538,0.00010614,0.00036631,True,False,False,False
5.6000,0.14366758,0.00010264,0.00030787,True,False,False,False
5.6800,0.19691703,0.00009104,0.00030704,True,False,False,False
5.7600,0.15453100,0.00018220,0.00064868,True,False,False,False
5.8400,0.13040224,0.00126973,0.00399565,False,False,False,False
5.9200,0.14019495,0.00007914,0.00036820,True,False,False,False
6.0000,0.13852027,0.00007081,0.00023586,True,False,False,False
6.0800,0.10987675,0.00011212,0.00036195,True,False,False,False
6.1600,0.08017087,0.00007792,0.00022859,True,False,False,False
6.2400,0.06334251,0.00178578,0.01028256,False,False,False,False
6.3200,0.05226952,0.00166359,0.01091197,False,False,False,False
6.4000,0.05061457,0.00017985,0.00060887,True,False,False,False
6.4800,0.04777730,0.00076546,0.00311771,True,False,False,False
6.5600,0.05076030,0.00209353,0.00939225,False,False,False,False
6.6400,0.06130588,0.00007023,0.00024653,True,False,False,False
6.7200,0.07056037,0.00008080,0.00027673,True,False,False,False
6.8000,0.10233453,0.00012280,0.00051894,True,False,False,False
6.8800,0.15699708,0.00059065,0.00231698,True,False,False,False
6.9600,0.15839818,0.00008685,0.00034287,True,False,False,False
7.0400,0.13080719,0.00011991,0.00044472,True,False,False,False
7.1200,0.13863268,0.00007450,0.00030830,True,False,False,False
7.2000,0.14191607,0.00008276,0.00027607,True,False,False,False
7.2800,0.12296724,0.00014433,0.00070142,True,False,False,False
7.3600,0.11491105,0.06457921,0.29152894,False,False,False,False
7.4400,0.13753271,0.06292623,0.27451181,False,False,False,False
7.5200,0.13671789,0.00841255,0.05262119,False,False,False,False
7.6000,0.10551655,0.00076520,0.00406359,True,False,False,False
7.6800,0.09341937,0.00234864,0.01143939,False,False,False,False
7.7600,0.10067958,0.08473986,0.23456638,False,False,False,False
7.8400,0.12775087,0.03518973,0.16535424,False,False,False,False
7.9200,0.17339587,0.00603076,0.04307967,False,False,False,False
8.0000,0.24008012,0.00135872,0.00410759,False,False,False,False
8.0800,0.25017178,0.00038875,0.00135733,True,False,False,False
8.1600,0.22617653,0.00309167,0.01006508,False,False,False,False
8.2400,0.24360690,0.00267718,0.01345002,False,False,False,False
8.3200,0.21644473,0.00017216,0.00064536,True,False,False,False
8.4000,0.22433248,0.00019053,0.00083693,True,False,False,False
8.4800,0.25316900,0.00009954,0.00033188,True,False,False,False
8.5600,0.22738329,0.00010727,0.00045611,True,False,False,False
8.6400,0.17406753,0.10362370,0.47076353,False,False,False,False
8.7200,0.13766694,0.11250391,0.37376791,False,False,False,False
8.8000,0.11718193,0.01995518,0.13019995,False,False,False,False
8.8800,0.09328878,0.02539379,0.13568299,False,False,False,False
8.9600,0.07368463,0.11352973,0.48237681,False,False,False,False
9.0400,0.06915766,0.10601704,0.46155280,False,False,False,False
9.1200,0.07415494,0.02338410,0.08419879,False,False,False,False
9.2000,0.09845513,0.00283931,0.01130842,False,False,False,False
9.2800,0.13242909,0.00051165,0.00198952,True,False,False,False
9.3600,0.13781473,0.00033844,0.00146930,True,False,False,False
9.4400,0.14021963,0.00090945,0.00339095,True,False,False,False
9.5200,0.10851499,0.00087266,0.00377951,True,False,False,False
9.6000,0.08688110,0.00008282,0.00029859,True,False,False,False
9.6800,0.05083722,0.02951245,0.14659046,False,False,False,False
9.7600,0.04046044,0.08949216,0.31292462,False,False,False,False
9.8400,0.04233712,0.04597861,0.19025372,False,False,False,False
9.9200,0.04632348,0.01634118,0.10955168,False,False,False,False
10.0000,0.04395309,0.04997771,0.27660924,False,False,False,False
10.0800,0.04578459,0.05257716,0.26939785,False,False,False,False
10.1600,0.08226317,0.00620038,0.02599760,False,False,False,False
